count	word
5	，发现
5	福兰尼雷
5	深坑区
5	难抑
5	密封条
5	徐工
5	项永丹
5	信神
5	蘧
5	腾蛟镇
5	包换
5	内包
5	地质遗迹
5	双城市
5	翱龙
5	Party
5	行装
5	锡矿
5	打哈欠
5	意会
5	82.8%
5	掘洞
5	小而全
5	交通警察
5	王晓梅
5	生殖细胞
5	施治
5	10时32分
5	长延堡
5	火车迷
5	缕缕
5	马尔文
5	二恶烷
5	喀斯特
5	贼喊捉贼
5	气象学
5	纵横驰骋
5	吓阻
5	林耀明
5	保家乡
5	风物
5	土狼
5	王鹏祥
5	冯志广
5	30%-50%
5	仙缘
5	傅家军
5	波兰语
5	2014年5月1日
5	看笑话
5	腰椎间盘
5	义洲综
5	街头艺人
5	起首
5	郑老
5	18337
5	炸机
5	投得
5	7：5
5	窦楠
5	天安
5	卡诺
5	反介入
5	洞天
5	悦来
5	尚美
5	石破天惊
5	２０１３年１１
5	声乐系
5	贾布瓦
5	天长地久
5	1872年
5	小推车
5	萨拉
5	厥
5	汀洲
5	G65
5	抗逆
5	低分
5	扁嘴
5	陈小虎
5	老师傅
5	烽燧
5	绿野
5	喝一壶
5	85.7%
5	数学物理
5	3349
5	园子
5	上下齐心
5	范锐平
5	inautonews1
5	度量
5	苏打饼干
5	东莞站
5	指示器
5	含意
5	判别
5	陈伟建
5	温升
5	破口
5	WH493
5	朱小妹
5	休宁县
5	取决
5	官箴
5	化学试剂
5	遗制
5	鸟铳
5	关元穴
5	冀世忠
5	上下文
5	道边
5	廉铁星
5	撅嘴
5	星锐赛
5	周惠发
5	9月6
5	罗伊斯
5	1747年
5	贸易部
5	趁年轻
5	Pose
5	赵阶彬
5	山房
5	数据链
5	新泻县
5	300余份
5	妄言
5	什么歌
5	15.2
5	1400万
5	盲眼
5	脑浆
5	音乐系
5	西奈山
5	菲洛梅娜
5	60多米
5	脾湿
5	铜片
5	腹内
5	互补作用
5	排骨面
5	每队
5	园村
5	赶圩
5	南辕北辙
5	箭牌
5	UGM
5	三族
5	埃拉尼
5	卫浴间
5	63.6%
5	13.27%
5	柳翰雅
5	风紧
5	704
5	地名志
5	1984年10月
5	台海网
5	王伟忠
5	马斯克
5	花哨
5	半条命
5	5月20日
5	舞种
5	臧佑初
5	聂扬飞
5	Fusion
5	24秒
5	画中仙
5	考研热
5	建业队
5	挂画
5	能养活
5	定盘
5	中医诊所
5	不够意思
5	取保
5	阳历年
5	石坝镇
5	太平山
5	高头大马
5	45.3%
5	吕思礼
5	巴顿
5	55.6%
5	炸坏
5	窄窄
5	馆子
5	试播
5	前途无量
5	七年前
5	杉木
5	理论工作者
5	膻味
5	海因克斯
5	日立
5	1933
5	染缸
5	晤面
5	选读
5	野地
5	5212
5	原值
5	沦陷区
5	为期不远
5	柯尔曼
5	不费吹灰之力
5	萌神
5	齐家沟
5	知了
5	米亚斯尼科维奇盛赞
5	文沈威
5	Sherban
5	天快
5	苏辉
5	AugusteRenoir
5	30%到50%
5	2012年1月11日
5	土司
5	卡帕
5	王浩然
5	700余人次
5	相衬
5	1922年5月
5	获益匪浅
5	庑
5	统治阶级
5	无止境
5	捺
5	恰似
5	闭门造车
5	极爱
5	返回地面
5	阿甘
5	肝火
5	不入流
5	农科教
5	96196
5	帕霍尔
5	拉贡
5	拿开
5	程卫东
5	观天
5	一哄
5	佳县
5	石嘴山
5	封王
5	匀速
5	琳琳
5	剿灭
5	活性剂
5	迈克尔·道格拉斯
5	淳安
5	6.08亿
5	10.7％
5	脑科学
5	衡山县
5	神族
5	林子君
5	唐正东
5	咸安宫
5	AnshooR
5	戈尔基
5	泡腾片
5	鲁显彬
5	1997.12
5	艾米莉
5	冬阳
5	天网恢恢
5	削掉
5	未忘
5	赵卫功
5	韩英
5	手倒立
5	邱化明
5	泠
5	侯宝峰
5	相让
5	DHEA
5	张秀余
5	唇印
5	RafSimons
5	打马球
5	听风
5	谋虑
5	非住宅
5	铁蒺藜
5	：1月8日
5	马达声
5	辽东湾
5	赵有为
5	冒尖
5	加班车
5	刮伤
5	福佑
5	2013年7月19日
5	尖刀连
5	土超
5	北朝鲜
5	2008年3月21日
5	向家坝
5	针眼
5	定标
5	阿旺
5	藏酒
5	曹华
5	保管所
5	车兵
5	周浩杰
5	唐韦星
5	关怀备至
5	干巴巴
5	21:20
5	K5
5	多边形
5	二月末
5	盐田港
5	旧病复发
5	群艺馆
5	赵世洪
5	可可脂
5	碍眼
5	别克昂科拉
5	辛达
5	流通量
5	翻旧账
5	艺考生
5	拉丁文
5	胡琴
5	4925
5	一半多
5	吴景进
5	没人骑
5	水钻
5	梁云霞
5	K9031
5	翟海雷
5	楚州城
5	扯住
5	煤炭局
5	夜寒
5	郝轶琦
5	胡律师
5	人工授精
5	2000年7月
5	卡萨
5	得宜
5	部队长
5	寓言
5	110万
5	破屋
5	李润
5	唐僧肉
5	流体力学
5	通令
5	欧某育
5	巡回演出
5	叶玫遣
5	龟息功
5	港沟
5	响动
5	李双全
5	缺医少药
5	留足
5	KB
5	救生伞
5	1976年1月1日
5	百马图
5	2.8
5	本局
5	金格植
5	莱茵湖
5	KC
5	阿德莱德
5	头一年
5	左想忠
5	KK
5	狗屎运
5	珠帘
5	轮台
5	程玲凤
5	涞源
5	帆船鞋
5	高志立
5	观赏鱼
5	DEA
5	拌茄泥
5	水立方
5	凤霞
5	祖传秘方
5	笑死
5	X30
5	交船
5	蓝冰
5	鬃毛
5	包片
5	终身伴侣
5	马扎里
5	小青年
5	暖热
5	按序
5	5319
5	7∶6
5	纺织业
5	后沙村
5	兽魂
5	换血
5	60.21%
5	何朝霞
5	欣泰
5	礼佛
5	站前区
5	王晓杰
5	陶马
5	绿萝
5	癫狂
5	20余件
5	A319
5	大竹县
5	尹富强
5	冯小丽
5	蔽日
5	盲童
5	10余篇
5	绿藻
5	大萧条
5	领航鲸
5	炼就
5	顾小月
5	林世雄
5	摩尼镇
5	船运
5	地温
5	差之毫厘
5	20多层
5	专守防卫
5	船边
5	机动泵
5	1977年10月
5	熟读
5	草苗
5	道观
5	苞米
5	孙德顺
5	佛家
5	看得清
5	8559
5	2.81亿
5	素裹
5	胚
5	王振忠
5	吓着
5	撑杆跳
5	土政策
5	尤佳
5	7点20分
5	聂姓
5	楚巴
5	伤口感染
5	亚当·西格尔
5	克赖斯基
5	日向礁
5	运行和维护
5	白茹
5	5时40分
5	雷蒙德
5	受降
5	朱婷
5	载舟
5	绣球
5	李挺
5	早衰症
5	3000余万元
5	密尔
5	谢功梅
5	Birungi
5	石龙镇
5	李振
5	12.49%
5	潜游
5	插柳
5	铅超标
5	李怡
5	13：40
5	戳进
5	王晓溪
5	旅费
5	梯段
5	粮棉
5	特型演员
5	陈飞铭
5	出海口
5	都存
5	千户
5	姜宾
5	李芳华
5	肖翔
5	磁石
5	隆子县
5	插板
5	两溪
5	歌乐山
5	归拢
5	剪去
5	平流雾
5	1060年
5	吕传伟
5	梁毓蕾
5	词曲作家
5	吃粮
5	桃李满天下
5	番木瓜
5	羽绒衣
5	2.5%到2
5	溶入
5	神田
5	夜巡
5	1973年1月15日
5	沟槽
5	强酸
5	感叹号
5	保山
5	老娘舅
5	香榭丽
5	人人自危
5	篮球队员
5	人盯人
5	铜雕
5	旋钮
5	刘朔
5	传信
5	核磁
5	介绍所
5	自动档
5	铜雀
5	李波
5	冲散
5	交卷
5	巴尔干
5	抹茶
5	雨带
5	瓷罐
5	ARAAssetManagementLimited
5	鼓足干劲
5	1220191
5	苗种
5	甄翔译
5	冬菇鸡
5	喷灌
5	板报
5	普兰县
5	王其涛
5	严琪
5	汽缸
5	劣药
5	映红
5	赵炎
5	卖书
5	，为了
5	1984年11月
5	打地铺
5	本家
5	刘国平
5	难管
5	12年6
5	交叠
5	何奔
5	站得高
5	炼制
5	欣欣
5	执迷
5	茶水费
5	三昧
5	Madonna
5	滑过
5	见多识广
5	小乌龟
5	丑态百出
5	乱成
5	51.6%
5	赵公口
5	拜祭
5	焦糊
5	夜校
5	15181
5	营建
5	2013年9月19日
5	可消除
5	橹
5	ATSCoupe
5	下午，7
5	伪装服
5	十九年
5	第3日
5	屯兵
5	放晴
5	夜盲
5	仙人岛
5	纸烟
5	道沟
5	王旦
5	养路
5	走避
5	混日子
5	外耳道
5	马振华
5	虞国权
5	严冰
5	铜鼓
5	陈国华
5	四五月份
5	铜币
5	文华奖
5	叠好
5	太阳磁场
5	慧远
5	左家庄
5	观星台
5	插画家
5	短靴
5	2783万
5	超凡脱俗
5	牙痒痒
5	晨跑
5	陈章良
5	地质构造
5	洗煤厂
5	拖后腿
5	舜天队
5	吉隆
5	下盘
5	王凤伟
5	机械舞
5	2078
5	场区
5	BRCA1
5	罗森
5	冬菜
5	取道
5	臭棋
5	五金厂
5	雷钧
5	洱海
5	朱丹蓬
5	519年
5	如临深渊
5	杀意
5	56.5%
5	莱亚利
5	阻尼
5	拾到
5	三河镇
5	漂向
5	张志国
5	65000
5	当晚，二
5	古思特
5	墨西哥湾
5	王生源
5	铜绿
5	103%
5	解码
5	珍溪村
5	歪歪斜斜
5	12.76%
5	闲坐
5	洼子
5	买受人
5	965
5	掰手腕
5	32万
5	应报
5	高粱酒
5	网志
5	玄学
5	鞣质
5	1967年6月
5	精粹
5	肉包子
5	谢宗孝
5	禁治产
5	探知
5	大法师
5	122%
5	国立大学
5	哪项
5	连笑
5	60194
5	20多秒
5	芹
5	谢晋文
5	严办
5	塑钢窗
5	400多人
5	吕顺清
5	文献所
5	茶汤
5	冬藏
5	黑麦
5	芳龄
5	清早八
5	豁然
5	1220
5	96.6%
5	采尼
5	路转
5	玛德林
5	下半截
5	23时30分
5	Kramer
